ts,open,high,low,close,adj close,volume
2023-12-15,1198.0999755859375,1198.0999755859375,1198.0999755859375,1198.0999755859375,1198.0999755859375,6
2023-12-18,1195.0999755859375,1195.0999755859375,1195.0999755859375,1195.0999755859375,1195.0999755859375,6
2023-12-19,1229.800048828125,1229.800048828125,1229.800048828125,1229.800048828125,1229.800048828125,6
2023-12-20,1215.4000244140625,1215.4000244140625,1215.4000244140625,1215.4000244140625,1215.4000244140625,6
2023-12-21,1216.699951171875,1216.699951171875,1216.699951171875,1216.699951171875,1216.699951171875,2
2023-12-22,1212.199951171875,1212.199951171875,1212.199951171875,1212.199951171875,1212.199951171875,1
2023-12-26,1177.9000244140625,1177.9000244140625,1177.9000244140625,1177.9000244140625,1177.9000244140625,1
2023-12-27,1144.800048828125,1144.800048828125,1144.800048828125,1144.800048828125,1144.800048828125,5
2023-12-28,1133.800048828125,1133.800048828125,1133.800048828125,1133.800048828125,1133.800048828125,0
2023-12-29,1104.0,1104.0,1104.0,1104.0,1104.0,0
2024-01-02,1079.0999755859375,1079.0999755859375,1079.0999755859375,1079.0999755859375,1079.0999755859375,0
2024-01-03,1071.5,1071.5,1065.9000244140625,1065.9000244140625,1065.9000244140625,2
2024-01-04,1033.0,1033.0,1033.0,1033.0,1033.0,2
2024-01-05,1032.300048828125,1032.300048828125,1032.300048828125,1032.300048828125,1032.300048828125,2
2024-01-08,993.9000244140625,993.9000244140625,993.9000244140625,993.9000244140625,993.9000244140625,2
2024-01-09,969.5,972.0,969.5,972.0,972.0,2
2024-01-10,987.0,990.4000244140625,984.5,990.4000244140625,990.4000244140625,4
2024-01-11,974.2999877929688,974.2999877929688,974.2999877929688,974.2999877929688,974.2999877929688,4
2024-01-12,972.4000244140625,972.4000244140625,972.4000244140625,972.4000244140625,972.4000244140625,4
2024-01-16,931.4000244140625,931.4000244140625,931.4000244140625,931.4000244140625,931.4000244140625,4
2024-01-17,913.2000122070312,913.2000122070312,913.2000122070312,913.2000122070312,913.2000122070312,4
2024-01-18,936.9000244140625,936.9000244140625,936.9000244140625,936.9000244140625,936.9000244140625,4
2024-01-19,941.7999877929688,941.7999877929688,941.7999877929688,941.7999877929688,941.7999877929688,4
2024-01-22,934.0,934.0,934.0,934.0,934.0,4
2024-01-23,939.0999755859375,939.0999755859375,939.0999755859375,939.0999755859375,939.0999755859375,4
2024-01-24,967.2999877929688,967.2999877929688,967.2999877929688,967.2999877929688,967.2999877929688,4
2024-01-25,936.4000244140625,936.4000244140625,936.4000244140625,936.4000244140625,936.4000244140625,4
2024-01-26,955.0999755859375,955.0999755859375,955.0999755859375,955.0999755859375,955.0999755859375,4
2024-01-29,974.2999877929688,974.2999877929688,974.2999877929688,974.2999877929688,974.2999877929688,8
2024-01-30,975.7999877929688,975.7999877929688,974.0,975.7999877929688,975.7999877929688,1
2024-01-31,992.9000244140625,992.9000244140625,992.9000244140625,992.9000244140625,992.9000244140625,0
2024-02-01,967.7000122070312,967.7000122070312,967.7000122070312,967.7000122070312,967.7000122070312,0
2024-02-02,945.7000122070312,945.7000122070312,945.7000122070312,945.7000122070312,945.7000122070312,0
2024-02-05,952.7999877929688,952.7999877929688,952.7999877929688,952.7999877929688,952.7999877929688,0
2024-02-06,948.0,948.0,948.0,948.0,948.0,0
2024-02-07,896.9000244140625,896.9000244140625,896.9000244140625,896.9000244140625,896.9000244140625,0
2024-02-08,865.0,888.5999755859375,865.0,888.5999755859375,888.5999755859375,22
2024-02-09,865.0,865.9000244140625,865.0,865.9000244140625,865.9000244140625,6
2024-02-12,898.0,898.0,893.5,893.5,893.5,1
2024-02-13,898.0,907.5,856.0,857.4000244140625,857.4000244140625,11
2024-02-14,930.7999877929688,930.7999877929688,930.7999877929688,930.7999877929688,930.7999877929688,11
2024-02-15,948.7000122070312,948.7000122070312,948.7000122070312,948.7000122070312,948.7000122070312,11
2024-02-16,948.7000122070312,948.7000122070312,948.7000122070312,948.7000122070312,948.7000122070312,11
2024-02-20,979.2999877929688,979.2999877929688,979.2999877929688,979.2999877929688,979.2999877929688,11
2024-02-21,946.0999755859375,946.0999755859375,946.0999755859375,946.0999755859375,946.0999755859375,11
2024-02-22,966.9000244140625,966.9000244140625,966.9000244140625,966.9000244140625,966.9000244140625,11
2024-02-23,985.2000122070312,985.2000122070312,985.2000122070312,985.2000122070312,985.2000122070312,11
2024-02-26,953.7000122070312,953.7000122070312,953.7000122070312,953.7000122070312,953.7000122070312,11
2024-02-27,939.0999755859375,939.0999755859375,939.0999755859375,939.0999755859375,939.0999755859375,2041
2024-02-28,934.5,938.0,904.5,918.0,918.0,496
2024-02-29,933.5,940.5,929.5,933.5,933.5,17
2024-03-01,941.0,952.7999877929688,941.0,952.7999877929688,952.7999877929688,5
2024-03-04,956.5,964.9000244140625,956.0,964.9000244140625,964.9000244140625,2
2024-03-05,938.5999755859375,938.5999755859375,938.5999755859375,938.5999755859375,938.5999755859375,0
2024-03-06,956.5,1037.9000244140625,956.5,1037.9000244140625,1037.9000244140625,12
2024-03-07,1031.0,1031.0,1031.0,1031.0,1031.0,15
2024-03-08,1016.0,1016.0,1016.0,1016.0,1016.0,0
2024-03-11,1032.5999755859375,1032.5999755859375,1032.5999755859375,1032.5999755859375,1032.5999755859375,0
2024-03-12,1041.0999755859375,1041.0999755859375,1041.0999755859375,1041.0999755859375,1041.0999755859375,0
2024-03-13,1055.0,1080.5,1055.0,1062.800048828125,1062.800048828125,5
2024-03-14,1080.0,1080.0,1071.800048828125,1071.800048828125,1071.800048828125,1
2024-03-15,1083.5,1083.5,1083.5,1083.5,1083.5,0
2024-03-18,1035.5999755859375,1035.5999755859375,1035.5999755859375,1035.5999755859375,1035.5999755859375,0
2024-03-19,993.9000244140625,993.9000244140625,993.9000244140625,993.9000244140625,993.9000244140625,0
2024-03-20,994.7000122070312,994.7000122070312,994.7000122070312,994.7000122070312,994.7000122070312,1
2024-03-21,1013.4000244140625,1013.4000244140625,1013.4000244140625,1013.4000244140625,1013.4000244140625,0
2024-03-22,992.7999877929688,992.7999877929688,992.7999877929688,992.7999877929688,992.7999877929688,0
2024-03-25,1007.7999877929688,1007.7999877929688,1007.7999877929688,1007.7999877929688,1007.7999877929688,0
2024-03-26,992.7000122070312,992.7000122070312,992.7000122070312,992.7000122070312,992.7000122070312,10
2024-03-27,979.0,979.0,979.0,979.0,979.0,0
2024-03-28,1009.5,1009.5,1009.5,1009.5,1009.5,0
2024-04-01,992.0,992.0,992.0,992.0,992.0,0
2024-04-02,992.2999877929688,992.2999877929688,992.2999877929688,992.2999877929688,992.2999877929688,0
2024-04-03,1009.7000122070312,1009.7000122070312,1009.7000122070312,1009.7000122070312,1009.7000122070312,0
2024-04-04,1029.300048828125,1029.300048828125,1029.300048828125,1029.300048828125,1029.300048828125,0
2024-04-05,995.4000244140625,995.4000244140625,995.4000244140625,995.4000244140625,995.4000244140625,0
2024-04-08,1038.5,1038.5,1038.5,1038.5,1038.5,0
2024-04-09,1074.0999755859375,1074.0999755859375,1074.0999755859375,1074.0999755859375,1074.0999755859375,0
2024-04-10,1051.699951171875,1051.699951171875,1051.699951171875,1051.699951171875,1051.699951171875,0
2024-04-11,1038.9000244140625,1038.9000244140625,1038.9000244140625,1038.9000244140625,1038.9000244140625,0
2024-04-12,1057.699951171875,1057.699951171875,1057.699951171875,1057.699951171875,1057.699951171875,0
2024-04-15,1042.0999755859375,1042.0999755859375,1042.0999755859375,1042.0999755859375,1042.0999755859375,0
2024-04-16,1029.4000244140625,1029.4000244140625,1029.4000244140625,1029.4000244140625,1029.4000244140625,0
2024-04-17,1029.0,1029.0,1029.0,1029.0,1029.0,0
2024-04-18,1037.5999755859375,1037.5999755859375,1037.5999755859375,1037.5999755859375,1037.5999755859375,0
2024-04-19,1025.5,1025.5,1025.5,1025.5,1025.5,0
